Book,Date,Weeks,Rank
When Harry Met Minnie,2/21/2021,1,10
A Promised Land,2/14/2021,11,2
A Swim In a Pond,2/14/2021,3,12
American Kompromat,2/14/2021,1,11
Becoming,2/14/2021,96,10
Braiding Sweetgrass,2/14/2021,5,13
Breath,2/14/2021,7,14
Caste,2/14/2021,26,3
Extraterrestrial,2/14/2021,1,6
Greenlights,2/14/2021,15,4
How to be an Antiracist,2/14/2021,31,15
Just As I Am,2/14/2021,1,1
Let Me Tell You What I Mean,2/14/2021,1,7
The Body Keeps The Score,2/14/2021,23,9
The Devil You Know,2/14/2021,1,8
Untamed,2/14/2021,47,5
A Promised Land,2/7/2021,10,1
A Swim In a Pond,2/7/2021,2,10
Becoming,2/7/2021,95,6
Between the World and Me,2/7/2021,71,15
Born a Crime,2/7/2021,73,8
Braiding Sweetgrass,2/7/2021,4,14
Breath,2/7/2021,6,12
Caste,2/7/2021,25,2
Greenlights,2/7/2021,14,3
How to be an Antiracist,2/7/2021,30,11
On Tyranny,2/7/2021,26,5
The Body Keeps The Score,2/7/2021,22,7
The Truths We Told,2/7/2021,7,9
Untamed,2/7/2021,46,4
White Fragility,2/7/2021,33,13
A Promised Land,1/31/2021,9,1
A Swim In a Pond,1/31/2021,1,6
Becoming,1/31/2021,94,10
Braiding Sweetgrass,1/31/2021,3,12
Caste,1/31/2021,24,2
Educated,1/31/2021,127,13
Evil Geniuses,1/31/2021,2,7
Greenlights,1/31/2021,13,3
How to be an Antiracist,1/31/2021,29,11
On Tyranny,1/31/2021,25,4
Saving Justice,1/31/2021,1,14
Splendid and Vile,1/31/2021,33,15
The Body Keeps The Score,1/31/2021,21,8
Untamed,1/31/2021,45,5
You'll Never Believe,1/31/2021,1,9
A Promised Land,1/24/2021,8,1
Becoming,1/24/2021,93,8
Braiding Sweetgrass,1/24/2021,2,9
Breath,1/24/2021,5,11
Caste,1/24/2021,23,6
Educated,1/24/2021,126,5
Greenlights,1/24/2021,12,3
How to be an Antiracist,1/24/2021,28,13
On Tyranny,1/24/2021,24,4
Splendid and Vile,1/24/2021,32,10
The Body Keeps The Score,1/24/2021,20,7
Uncomfortable Conversations,1/24/2021,4,14
Untamed,1/24/2021,44,2
White Fragility,1/24/2021,32,15
World of Wonders,1/24/2021,5,12
A Promised Land,1/17/2021,7,1
Answer Is,1/17/2021,9,10
Bag Man,1/17/2021,4,11
Becoming,1/17/2021,92,6
Braiding Sweetgrass,1/17/2021,1,12
Breath,1/17/2021,4,13
Caste,1/17/2021,22,4
Greenlights,1/17/2021,11,2
Humans,1/17/2021,11,14
Is this anything,1/17/2021,11,9
Lennon,1/17/2021,4,15
Splendid and Vile,1/17/2021,31,8
The Body Keeps The Score,1/17/2021,19,5
Untamed,1/17/2021,43,3
World of Wonders,1/17/2021,4,7
A Promised Land,1/10/2021,6,1
Bag Man,1/10/2021,3,7
Becoming,1/10/2021,91,3
Breath,1/10/2021,3,10
Caste,1/10/2021,21,5
Greenlights,1/10/2021,10,2
Humans,1/10/2021,10,11
Is this anything,1/10/2021,10,8
Killing Crazy Horse,1/10/2021,14,14
Lennon,1/10/2021,3,9
Mamba Mentality,1/10/2021,22,15
My Own Words,1/10/2021,12,12
Splendid and Vile,1/10/2021,30,13
Untamed,1/10/2021,42,4
World of Wonders,1/10/2021,3,6
A Promised Land,1/1/2021,5,1
Answer Is,1/1/2021,8,15
Bag Man,1/1/2021,2,4
Becoming,1/1/2021,90,6
Caste,1/1/2021,20,5
Greenlights,1/1/2021,9,2
Humans,1/1/2021,9,3
Is this anything,1/1/2021,9,11
Killing Crazy Horse,1/1/2021,13,13
Lennon,1/1/2021,2,9
Mamba Mentality,1/1/2021,21,14
My Own Words,1/1/2021,11,12
Splendid and Vile,1/1/2021,29,10
Untamed,1/1/2021,41,8
World of Wonders,1/1/2021,2,7
A Promised Land,12/27/2020,4,1
Bag Man,12/27/2020,1,3
Becoming,12/27/2020,89,7
Caste,12/27/2020,19,6
Greenlights,12/27/2020,8,2
Humans,12/27/2020,8,14
Is this anything,12/27/2020,8,13
Killing Crazy Horse,12/27/2020,12,12
Lennon,12/27/2020,1,4
Modern Warriors,12/27/2020,3,11
My Own Words,12/27/2020,10,10
Splendid and Vile,12/27/2020,28,9
The Answer is,12/27/2020,7,15
Untamed,12/27/2020,40,8
World of Wonders,12/27/2020,1,5
A Promised Land,12/20/2020,3,1
Becoming,12/20/2020,88,3
Caste,12/20/2020,18,4
Dolly Parton Songteller,12/20/2020,3,8
Greenlights,12/20/2020,7,2
Hillbilly Elegy,12/20/2020,89,6
Humans,12/20/2020,7,13
Is this anything,12/20/2020,7,9
Killing Crazy Horse,12/20/2020,11,12
